Data,Vazao,Precipitacao
1955-01,87.45137419354839,244.95999999999998
1955-02,58.81224642857143,56.16
1955-03,42.7511,88.39
1955-04,37.37237666666667,81.3
1955-05,31.70756129032258,50.74
1955-06,31.554806666666664,31.240000000000002
1955-07,24.965729032258064,6.64
1955-08,21.854835483870968,7.05
1955-09,19.132516666666668,0.9500000000000001
1955-10,28.987835483870967,117.46
1955-11,45.20238333333334,127.95
1955-12,94.38123870967742,346.08
1956-01,70.39702903225806,42.62
1956-02,42.30335172413793,102.1
1956-03,58.687212903225806,126.86
1956-04,35.80270666666667,40.81
1956-05,34.98241290322581,61.79
1956-06,33.10242,39.22
1956-07,28.899222580645162,47.480000000000004
1956-08,26.7907,5.92
1956-09,23.495659999999997,34.2
1956-10,21.7927,48.14
1956-11,35.493320000000004,129.01
1956-12,130.98069032258064,391.12
1957-01,91.30564516129031,154.51
1957-02,72.57921785714287,169.98
1957-03,92.20293548387097,245.17
1957-04,75.47344,84.31
1957-05,57.86034838709678,67.99
1957-06,45.35925333333333,13.74
1957-07,38.26204838709677,22.08
1957-08,31.94139032258065,9.01
1957-09,43.01422,105.24
1957-10,32.75906129032258,33.17
1957-11,58.61170666666667,232.41
1957-12,126.81907419354839,283.46
1958-01,69.44430967741935,125.78
1958-02,68.81208928571428,96.04
1958-03,58.86285161290322,136.32
1958-04,59.64273333333333,93.7
1958-05,52.86514193548388,77.84
1958-06,41.03089333333333,13.02
1958-07,48.34907096774193,58.0
1958-08,34.969864516129036,20.03
1958-09,38.2315,72.11
1958-10,50.18963870967742,220.6
1958-11,54.891713333333335,141.12
1958-12,59.14041612903226,135.99
1959-01,103.02579032258065,222.22
1959-02,48.84986428571428,75.82
1959-03,82.92300967741936,185.86
1959-04,43.00038666666667,5.85
1959-05,34.99769677419355,2.61
1959-06,31.407500000000002,0.01
1959-07,27.752745161290324,0.0
1959-08,26.852906451612903,13.1
1959-09,23.978986666666668,2.73
1959-10,31.658209677419354,137.94
1959-11,52.93562,169.49
1959-12,49.82445483870968,174.67
1960-01,75.98872903225806,242.75
1960-02,75.53320689655173,201.3
1960-03,108.84954516129032,219.98000000000002
1960-04,53.13774333333333,10.5
1960-05,44.62930967741936,46.32
1960-06,37.532736666666665,19.98
1960-07,32.869958064516126,8.95
1960-08,27.687590322580643,7.3
1960-09,27.344463333333334,71.99
1960-10,28.34123870967742,74.25
1960-11,42.39487999999999,187.57
1960-12,115.10898387096775,365.96
1961-01,197.61139032258063,499.37
1961-02,240.39614285714285,303.91
1961-03,163.66970967741938,175.0
1961-04,100.60025,74.49
1961-05,82.14609032258065,25.330000000000002
1961-06,64.17178333333334,6.74
1961-07,53.39124838709677,1.3099999999999998
1961-08,45.79278064516129,0.08
1961-09,38.10876,0.35
1961-10,36.99224516129033,57.0
1961-11,50.909650000000006,141.69
1961-12,83.48715806451614,145.59
1962-01,101.01216774193549,389.07
1962-02,171.99957142857144,246.29000000000002
1962-03,92.58242258064516,109.34
1962-04,63.52869,54.519999999999996
1962-05,55.47036774193548,21.15
1962-06,47.958443333333335,5.07
1962-07,41.80298064516129,7.529999999999999
1962-08,36.38581935483871,13.790000000000001
1962-09,39.291129999999995,69.42999999999999
1962-10,48.352577419354844,101.73
1962-11,61.62164333333333,124.18
1962-12,151.30407741935485,482.39
1963-01,89.82038064516128,67.07
1963-02,74.88601785714286,123.99
1963-03,49.06288064516129,16.16
1963-04,43.10505666666666,36.32
1963-05,35.90912258064516,1.8599999999999999
1963-06,33.44557666666667,2.21
1963-07,31.15692580645161,1.7500000000000002
1963-08,29.239032258064515,12.95
1963-09,23.07387,0.04
1963-10,27.10451612903226,71.65
1963-11,43.353116666666665,160.35
1963-12,29.33671935483871,90.87
1964-01,105.43939032258064,391.28000000000003
1964-02,136.33688620689654,290.14
1964-03,68.96596129032257,67.82
1964-04,55.52197,47.21
